client_id,client_normalized_name,client_legal_entity_name,client_type,industry_1,industry_2,revenue_band,client_address_1,client_name_anon
1,Six Degrees L.L.C.,6 Degrees Health,MVA,Services,Management consulting services,$5 mil to less than $10 mil,2001 S. 16th Street Suite 210,
2,Aaron's LLC,Aaron's LLC,Outsourcing,Services,Equipment rental/leasing,$1 bil and above,400 Galleria Parkway Suite 300,aarons inc
3,Westrock Shared Services LLC,Access Information Management Shared Services LLC,Software,Manufacturing,Paper mill,$1 bil and above,1230 Peachtree Street NE Suite 2050,
4,Acosta Inc.,Acosta,MVA,Wholesale Trade,Whol general groceries,$1 bil and above,5100 West Kennedy Blvd Suite 300,
5,Acushnet Company,Acushnet Company,Outsourcing,Manufacturing,Mfg sporting/athletic goods,$1 bil and above,333 Bridge Street,
6,Advantus Health,Advantus Health,MVA,,,,7300 W. 147th Street Suite 500,
7,Educational Credit Union,Alliant Credit Union,MVA,Finance Insurance Real Estate,Federal credit union,$1 mil to less than $5 mil,11545 W. 117th Street,
8,Allied Universal Transportation Inc,Allied Universal,MVA,Transportation & Public Utilities,Local trucking-with storage,Less than $1 mil,1501 S. Clinton Avenue,
9,Allina Health System,Allina Health,MVA,Services,General hospital,Less than $1 mil,2925 Chicago Avenue South,
10,American Signature Inc.,American Signature,MVA,Retail Trade,Ret furniture,$25 mil to less than $50 mil,4500 East Dublin Granville Road,
11,American Tire Distributors Holdings Inc.,American Tire Distributors,MVA,Wholesale Trade,Whol tires/tubes,$1 bil and above,6060 Piedmont Row Drive Suite 300,
12,Ameriprise Financial Inc.,Ameriprise Financial,Software,Finance Insurance Real Estate,Investment advisory service,$1 bil and above,707 2nd Avenue South Suite 2000,
13,A.M.E.X. LLC,AmexGBT,MVA,Public Administration,Nonclassified establishment,Less than $1 mil,10 Phelps Lane,
14,Beach Bowling Center,AMF Bowling Centers Inc.,Outsourcing,Services,Bowling center,Less than $1 mil,8210 Midtown Parkway,
15,Amn Healthcare Inc.,AMN Healthcare Inc.,Consulting,Services,Medical doctor's office,$1 bil and above,12400 High Bluff Drive Suite 100,
16,Aequor Inc.,Antech,MVA,Wholesale Trade,Whol chemicals/products,Less than $1 mil,11575 Sorrento Valley Road,
17,Apollo - Michaels/Petsmart,Apollo - Michaels/Petsmart,MVA,,,,,
18,United States of Aritzia Inc.,Aritzia,MVA,Retail Trade,Ret women's clothing,$50 mil to less than $100 mil,2115 4th Avenue,
