category_id,original_name,normalized_name,level_5,level_3,level_4,normalized_uom,price,remove_flag
14,NIGHT DROP CASH VERIFICATION,Night Drop Cash Verification,Cash Management Services,Banking,Treasury Services,per service,0.0016,No
14,NIGHT DROP CASH VERIFICATION,Night Drop Cash Verification,Cash Management Services,Banking,Treasury Services,per service,0.0017,No
14,NIGHT DROP CASH VERIFICATION,Night Drop Cash Verification,Cash Management Services,Banking,Treasury Services,per service,0.0018,No
14,Night Drop Cash Verification                                ,Night Drop Cash Verification,Cash Management Services,Banking,Treasury Services,per service,0.001,No
14,OLC  CASH  POSITION   REPORT,Extended Retention,Account Services,Banking,Treasury Services,per service,0,No
14,OLC CASH POSITION REPORT,OLC Cash Position Report,Account Services,Banking,Treasury Services,per service,0,No
14,ONLINE AUDIT CONFIRMATIONS,Online Audit Confirmation,Account Services,Banking,Treasury Services,per service,0,No
14,Online Portal Event Notification Monthly,Online Portal Event Notification Monthly,Account Services,Banking,Treasury Services,per service,0,No
14,ONLINE PORTAL Positive Pay Input,Online Portal Positive Pay Input,Account Services,Banking,Treasury Services,per service,0,No
14,PARTIAL  RECON     ITEM,Partial Recon Per Item,Account Reconciliation,Banking,Treasury Services,per service,0,No
14,PAYABLES ADVANTAGE – MAIL PRESORT FEE,Pay Adv - Mail Presort Fee,Miscellaneous,Banking,Treasury Services,per service,0,No
14,Online Portal Funds Transfer Module,Online Portal Funds Transfer Module,Account Services,Banking,Treasury Services,per service,0,No
14,Online Portal Intg Payables Monthly,Online Portal Intg Payables Monthly,Account Services,Banking,Treasury Services,per service,0,No
14,Online Portal Positive Pay Monthly,Online Portal Positive Pay Monthly,Account Services,Banking,Treasury Services,per service,0,No
14,100200 24 HOUR DEPOSIT,24 Hour Deposit,Depository Services,Banking,Treasury Services,per service,1,No
14,24 hour deposit,24 Hour Deposit,Depository Services,Banking,Treasury Services,per service,1,No
14,822 ANALYSIS FILE,822 Analysis File,Account Services,Banking,Treasury Services,per service,29.25,No
14,Account Analysis Report PDF,Account Analysis Report - PDF,Account Services,Banking,Treasury Services,per service,5,No
14,Account Analysis Report PDF,Account Analysis Report - PDF,Account Services,Banking,Treasury Services,per service,0,No
14,ACCOUNT BALANCE FEE,Account Balance Fee,Account Services,Banking,Treasury Services,per service,0.142,No
14,Account Inquiry,Account Inquiry,Account Services,Banking,Treasury Services,per service,8,No
14,010000 ACCOUNT MAI INTENANCE,Account Maintenance,Account Services,Banking,Treasury Services,per service,13,No
14,account mai intenance,Account Maintenance,Account Services,Banking,Treasury Services,per service,13,No
14,ACCOUNT MAINTENANCE,Account Maintenance,Account Services,Banking,Treasury Services,per service,10,No
14,ACCOUNT MAINTENANCE,Account Maintenance,Account Services,Banking,Treasury Services,per service,35,No
14,ACCOUNT MAINTENANCE,Account Maintenance,Account Services,Banking,Treasury Services,per service,50,No
14,ACCOUNT MAINTENANCE,Account Maintenance,Account Services,Banking,Treasury Services,per service,9,No
14,ACCOUNT MAINTENANCE,Account Maintenance,Account Services,Banking,Treasury Services,per service,25.5222,No
14,ACCOUNT MAINTENANCE,Account Maintenance,Account Services,Banking,Treasury Services,per service,33,No
14,ACCOUNT MAINTENANCE,Account Maintenance,Account Services,Banking,Treasury Services,per service,13,No
14,ACCOUNT MAINTENANCE RESTRICTED ACCT,Account Maintenance,Account Services,Banking,Treasury Services,per service,0,No
14,ACCOUNT SERVICES ACCOUNT MAINTENANCE,Account Maintenance,Account Services,Banking,Treasury Services,per service,9,No
14,ACCT MAINTENANCE,Account Maintenance,Account Services,Banking,Treasury Services,per service,10,No
14,ACCT MAINTENANCE GENERAL ACCOUNT SERVICES,Account Maintenance,Account Services,Banking,Treasury Services,per service,10,No
14,depository services account maintenance,Account Maintenance,Account Services,Banking,Treasury Services,per service,35,No
14,MONTHLY   ACCT  MAINTENANCE   FEE,Account Maintenance,Account Services,Banking,Treasury Services,per service,27,No
14,MONTHLY   ACCT  MAINTENANCE   FEE,Account Maintenance,Account Services,Banking,Treasury Services,per service,12,No
14,MONTHLY   ACCT  MAINTENANCE   FEE,Account Maintenance,Account Services,Banking,Treasury Services,per service,13,No
14,monthly acct maintenance fee,Account Maintenance,Account Services,Banking,Treasury Services,per service,27,No
14,monthly acct maintenance fee,Account Maintenance,Account Services,Banking,Treasury Services,per service,12,No
14,monthly acct maintenance fee,Account Maintenance,Account Services,Banking,Treasury Services,per service,13,No
14,MONTHLY SERVICE,Account Maintenance,Account Services,Banking,Treasury Services,per service,75,No
14,010000 ACCOUNT MAINTENANCE,Account Maintenance,Account Services,Banking,Treasury Services,per service,13,No
14,2120 ACCOUNT MAINTENANCE,Account Maintenance,Account Services,Banking,Treasury Services,per service,50,No
14,822 ACCT ANALYSIS MONTHLY MAINT,Account Maintenance,Account Services,Banking,Treasury Services,per service,40,No
14,ACCOUNT ANALYSIS TRANSMISSION,Account Maintenance,Account Services,Banking,Treasury Services,per service,25,No
14,ACCOUNT MAINTENANCE ,Account Maintenance,Account Services,Banking,Treasury Services,per service,35,No
14,Account Maintenance                                         ,Account Maintenance,Account Services,Banking,Treasury Services,per service,20,No
14,ACCOUNT MAINTENANCE (1),Account Maintenance,Account Services,Banking,Treasury Services,per service,17.5,No
14,ACCOUNT MAINTENANCE FEE ,Account Maintenance,Account Services,Banking,Treasury Services,per service,25.29,No
14,ACCOUNT MAINTENANCE FEE ,Account Maintenance,Account Services,Banking,Treasury Services,per service,25.41,No
14,ACCOUNT MAINTENANCE FEE ,Account Maintenance,Account Services,Banking,Treasury Services,per service,25.46,No
14,ACCOUNT MAINTENANCE FEE ,Account Maintenance,Account Services,Banking,Treasury Services,per service,25.57,No
14,ACCOUNT MAINTENANCE FEE ,Account Maintenance,Account Services,Banking,Treasury Services,per service,49.91,No
14,ACCOUNT MAINTENANCE FEE ,Account Maintenance,Account Services,Banking,Treasury Services,per service,50,No
14,ACCOUNT MAINTENANCE FEE ,Account Maintenance,Account Services,Banking,Treasury Services,per service,50.58,No
14,ACCOUNT MAINTENANCE FEE ,Account Maintenance,Account Services,Banking,Treasury Services,per service,51.38,No
14,ACCOUNT MAINTENANCE FEE ,Account Maintenance,Account Services,Banking,Treasury Services,per service,54.12,No
14,ACCOUNT MAINTENANCE FEE ,Account Maintenance,Account Services,Banking,Treasury Services,per service,69.71,No
14,ACCOUNT MAINTENANCE FEE ,Account Maintenance,Account Services,Banking,Treasury Services,per service,69.84,No
14,ACCT MAINT,Account Maintenance,Account Services,Banking,Treasury Services,per service,12,No
14,ACCT MAINT,Account Maintenance,Account Services,Banking,Treasury Services,per service,27,No
14,ACCT MAINT FEE BRANCH,Account Maintenance,Account Services,Banking,Treasury Services,per service,20,No
14,DACA Account Maintenance,Account Maintenance,Account Services,Banking,Treasury Services,per service,150,No
14,MAINTENANCE  CHARGE,Account Maintenance,Account Services,Banking,Treasury Services,per service,24,No
14,MONTHLY  ACCT  MAINTENANCE  FEE,Account Maintenance,Account Services,Banking,Treasury Services,per service,13.5,No
14,MONTHLY  ACCT  MAINTENANCE  FEE,Account Maintenance,Account Services,Banking,Treasury Services,per service,27,No
14,MONTHLY  SERVICE  FEE,Account Maintenance,Account Services,Banking,Treasury Services,per service,20,No
